2012-27,3
2012-28,6
2012-29,4
2012-30,7
2012-31,5
2012-32,7
2012-33,1
2012-34,9
2012-35,7
2012-36,2
2012-37,6
2012-38,9
2012-39,7
2012-40,4
2012-41,2
2012-42,8
2012-43,8
2012-44,3
2012-45,2
2012-46,3
2012-47,4
2012-48,3
2012-49,1
2012-50,5
2012-51,9
2012-52,10
2013-01,10
2013-02,4
2013-03,4
2013-04,5
2013-05,9
2013-06,4
2013-07,5
2013-08,5
2013-09,6
2013-10,9
2013-11,5
2013-12,5
2013-13,3
2013-14,7
2013-15,1
2013-16,3
2013-17,3
2013-18,3
2013-19,3
2013-20,6
2013-21,1
2013-22,5
2013-23,4
2013-24,9
2013-25,3
2013-26,7
2013-27,3
2013-28,6
2013-29,2
2013-30,7
2013-31,8
2013-32,4
2013-33,15
2013-34,8
2013-35,6
2013-36,3
2013-37,7
2013-38,7
2013-39,9
2013-40,4
2013-41,6
2013-42,3
2013-43,6
2013-44,6
2013-45,7
2013-46,9
2013-47,4
2013-48,14
2013-49,5
2013-50,6
2013-51,7
2013-52,5
2014-01,8
2014-02,7
2014-03,4
2014-04,4
2014-05,3
2014-06,4
2014-07,4
2014-08,3
2014-09,3
2014-10,4
2014-11,2
2014-12,5
2014-13,6
2014-14,9
2014-15,3
2014-16,3
2014-17,4
2014-18,5
2014-19,5
2014-20,6
2014-21,9
2014-22,4
2014-23,8
2014-24,6
2014-25,4
2014-26,3
2014-27,7
2014-28,4
2014-29,6
2014-30,7
2014-31,11
2014-32,2
2014-33,3
2014-34,3
2014-35,9
2014-36,5
2014-37,8
2014-38,5
2014-39,6
2014-40,6
2014-41,4
2014-42,5
2014-43,3
2014-44,7
2014-45,9
2014-46,6
2014-47,4
2014-48,5
2014-49,4
2014-50,3
2014-51,3
2014-52,2
2015-01,4
2015-02,5
2015-03,4
2015-04,3
2015-05,2
2015-06,2
2015-07,3
2015-08,6
2015-09,5
2015-10,3
2015-11,1
2015-12,7
2015-13,2
2015-14,5
2015-15,4
2015-16,4
2015-17,3
2015-18,6
2015-19,5
2015-20,8
2015-21,5
2015-22,9
2015-23,6
2015-24,1
2015-25,5
2015-26,5
2015-27,10
2015-28,4
2015-29,4
2015-30,3
2015-31,4
2015-32,6
2015-33,3
2015-34,7
2015-35,4
2015-36,2
2015-37,6
2015-38,3
2015-39,3
2015-40,2
2015-41,7
2015-42,9
2015-43,5
2015-44,2
2015-45,8
2015-46,7
2015-47,4
2015-48,6
2015-49,7
2015-50,7
2015-51,6
2015-52,3
2016-01,0
2016-02,4
2016-03,7
2016-04,4
2016-05,2
2016-06,3
2016-07,5
2016-08,4
2016-09,1
2016-10,7
2016-11,4
2016-12,2
2016-13,4
2016-14,0
2016-15,5
2016-16,3
2016-17,2
2016-18,2
2016-19,6
2016-20,8
2016-21,3
2016-22,3
2016-23,2
2016-24,6
2016-25,8
2016-26,8
2016-27,8
2016-28,6
2016-29,4
2016-30,4
2016-31,1
2016-32,5
2016-33,5
2016-34,5
2016-35,6
2016-36,9
2016-37,3
2016-38,4
2016-39,3
2016-40,6
2016-41,5
2016-42,6
2016-43,5
2016-44,3
2016-45,5
2016-46,3
2016-47,8
2016-48,1
2016-49,2
2016-50,6
2016-51,4
2016-52,2
2016-53,7
2017-01,5
